campaign,date,cost,impressions,clicks,sessions,transactions,revenue,revenue_web,revenue_app,Medio,TipoCampaña
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-28,"$15,028.57","33,709","11,307","9,374",244,"$255,796.96","$218,024.60","$37,772.36",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-29,"$13,697.93","35,438","12,103","10,090",276,"$303,841.13","$261,923.07","$41,918.06",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-30,"$13,742.78","41,559","14,516","12,386",320,"$322,239.47","$249,578.69","$72,660.78",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-31,"$11,154.97","40,872","13,574","10,159",263,"$214,241.30","$195,847.01","$18,394.29",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-01,"$9,847.14","30,589","9,057","6,498",142,"$132,830.43","$123,764.13","$9,066.30",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-02,"$20,390.30","39,094","13,000","10,800",265,"$254,234.14","$229,775.66","$24,458.48",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-03,"$23,148.62","44,346","15,754","13,636",447,"$393,223.27","$347,068.13","$46,155.14",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-04,"$22,630.12","48,282","16,184","13,710",397,"$354,442.53","$318,721.42","$35,721.11",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-05,"$22,751.43","54,593","17,080","14,643",339,"$283,977.02","$242,760.80","$41,216.22",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-06,"$20,593.33","44,644","13,273","11,627",280,"$223,166.52","$206,527.80","$16,638.72",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-07,"$15,368.66","31,347","10,476","9,179",197,"$177,521.45","$168,238.14","$9,283.31",aw,BRAND TERMS
